event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum
2024-05-08 22:05:00.000,2024-05-08 22:27:00.000,2024-05-08 22:45:00.000,M9.7,0
2024-05-08 22:05:00.000,2024-05-08 22:27:00.000,2024-05-08 23:12:00.000,M9.8,13664
2024-05-09 03:07:00.000,2024-05-09 03:17:00.000,2024-05-09 03:23:00.000,M4.0,13664
2024-05-09 03:23:00.000,2024-05-09 03:32:00.000,2024-05-09 03:45:00.000,M4.5,13664
2024-05-09 04:44:00.000,2024-05-09 04:49:00.000,2024-05-09 04:55:00.000,M1.7,13664
2024-05-09 06:03:00.000,2024-05-09 06:13:00.000,2024-05-09 06:24:00.000,M2.3,13664
2024-05-09 08:45:00.000,2024-05-09 09:13:00.000,2024-05-09 09:36:00.000,X2.2,13664
2024-05-09 11:52:00.000,2024-05-09 11:56:00.000,2024-05-09 12:02:00.000,M3.1,13664
2024-05-09 12:05:00.000,2024-05-09 12:12:00.000,2024-05-09 12:20:00.000,M2.9,13664
2024-05-09 13:16:00.000,2024-05-09 13:23:00.000,2024-05-09 13:29:00.000,M3.7,13664
2024-05-09 17:23:00.000,2024-05-09 17:44:00.000,2024-05-09 18:00:00.000,X1.1,13664
2024-05-09 21:15:00.000,2024-05-09 21:21:00.000,2024-05-09 21:25:00.000,M1.0,13663
2024-05-09 22:08:00.000,2024-05-09 22:15:00.000,2024-05-09 22:24:00.000,M1.0,0
2024-05-09 22:24:00.000,2024-05-09 22:41:00.000,2024-05-09 22:47:00.000,M2.6,0
2024-05-09 23:04:00.000,2024-05-09 23:08:00.000,2024-05-09 23:13:00.000,M1.2,13664
2024-05-09 23:44:00.000,2024-05-09 23:51:00.000,2024-05-09 23:55:00.000,M1.5,13664
2024-05-10 00:10:00.000,2024-05-10 00:13:00.000,2024-05-10 00:22:00.000,M1.3,13664
2024-05-10 02:03:00.000,2024-05-10 02:09:00.000,2024-05-10 02:16:00.000,C9.8,13664
2024-05-10 03:03:00.000,2024-05-10 03:10:00.000,2024-05-10 03:15:00.000,C8.0,0
2024-05-10 03:15:00.000,2024-05-10 03:29:00.000,2024-05-10 03:40:00.000,M1.4,13664
2024-05-10 06:14:00.000,2024-05-10 06:24:00.000,2024-05-10 06:27:00.000,M1.3,0
2024-05-10 06:27:00.000,2024-05-10 06:54:00.000,2024-05-10 07:06:00.000,X3.9,13664
2024-05-10 10:10:00.000,2024-05-10 10:14:00.000,2024-05-10 10:19:00.000,M2.2,13664
2024-05-10 13:58:00.000,2024-05-10 14:11:00.000,2024-05-10 14:23:00.000,M5.9,13664
2024-05-10 15:59:00.000,2024-05-10 16:08:00.000,2024-05-10 16:12:00.000,C6.9,13664
2024-05-10 18:15:00.000,2024-05-10 18:25:00.000,2024-05-10 18:26:00.000,C9.1,13664
2024-05-10 18:26:00.000,2024-05-10 18:32:00.000,2024-05-10 18:38:00.000,M1.1,13664
2024-05-10 18:38:00.000,2024-05-10 18:48:00.000,2024-05-10 18:57:00.000,M1.7,13664
2024-05-10 18:57:00.000,2024-05-10 19:05:00.000,2024-05-10 19:10:00.000,M2.0,13664
2024-05-10 19:35:00.000,2024-05-10 19:53:00.000,2024-05-10 19:56:00.000,M1.1,13664
2024-05-10 19:56:00.000,2024-05-10 20:03:00.000,2024-05-10 20:18:00.000,M1.9,13664
2024-05-10 20:59:00.000,2024-05-10 21:08:00.000,2024-05-10 21:12:00.000,M3.8,13664
2024-05-11 01:10:00.000,2024-05-11 01:23:00.000,2024-05-11 01:39:00.000,X5.8,13664
2024-05-11 10:03:00.000,2024-05-11 10:18:00.000,2024-05-11 10:34:00.000,M3.1,13664
2024-05-11 10:53:00.000,2024-05-11 10:56:00.000,2024-05-11 11:00:00.000,M1.6,13664
2024-05-11 11:15:00.000,2024-05-11 11:44:00.000,2024-05-11 12:05:00.000,X1.5,13664
2024-05-11 13:45:00.000,2024-05-11 13:49:00.000,2024-05-11 14:08:00.000,M1.7,13664
2024-05-11 14:46:00.000,2024-05-11 15:25:00.000,2024-05-11 15:52:00.000,M8.8,13664
2024-05-11 19:41:00.000,2024-05-11 19:47:00.000,2024-05-11 19:56:00.000,C7.1,13672
2024-05-11 20:32:00.000,2024-05-11 20:41:00.000,2024-05-11 20:47:00.000,M1.2,13664
2024-05-11 20:59:00.000,2024-05-11 21:07:00.000,2024-05-11 21:19:00.000,C9.4,13664
2024-05-11 21:52:00.000,2024-05-11 21:58:00.000,2024-05-11 22:08:00.000,C7.8,0
2024-05-11 23:25:00.000,2024-05-11 23:29:00.000,2024-05-11 23:34:00.000,C6.6,13664
2024-05-12 00:20:00.000,2024-05-12 00:28:00.000,2024-05-12 00:32:00.000,C6.4,13673
2024-05-12 00:41:00.000,2024-05-12 00:45:00.000,2024-05-12 00:52:00.000,M3.2,13664
2024-05-12 05:37:00.000,2024-05-12 05:52:00.000,2024-05-12 06:06:00.000,M2.4,13664
2024-05-12 10:14:00.000,2024-05-12 10:22:00.000,2024-05-12 10:32:00.000,C9.2,13664
2024-05-12 12:27:00.000,2024-05-12 12:41:00.000,2024-05-12 12:54:00.000,M1.6,13664
2024-05-12 13:40:00.000,2024-05-12 13:47:00.000,2024-05-12 13:49:00.000,M1.0,13679
2024-05-12 13:49:00.000,2024-05-12 13:56:00.000,2024-05-12 14:08:00.000,M1.5,13664
2024-05-12 15:19:00.000,2024-05-12 15:26:00.000,2024-05-12 15:37:00.000,C7.0,13664
2024-05-12 15:41:00.000,2024-05-12 15:44:00.000,2024-05-12 15:49:00.000,C7.3,13664
2024-05-12 16:11:00.000,2024-05-12 16:26:00.000,2024-05-12 16:38:00.000,X1.0,13664
2024-05-12 20:17:00.000,2024-05-12 20:32:00.000,2024-05-12 20:49:00.000,M4.8,13664
2024-05-12 22:01:00.000,2024-05-12 22:06:00.000,2024-05-12 22:12:00.000,M1.1,13664
2024-05-12 22:14:00.000,2024-05-12 22:18:00.000,2024-05-12 22:24:00.000,M1.1,13676
2024-05-12 23:00:00.000,2024-05-12 23:10:00.000,2024-05-12 23:14:00.000,M1.0,13664
2024-05-12 23:27:00.000,2024-05-12 23:39:00.000,2024-05-12 23:49:00.000,C9.5,13664
2024-05-13 00:25:00.000,2024-05-13 00:32:00.000,2024-05-13 00:36:00.000,C6.4,13664
2024-05-13 01:06:00.000,2024-05-13 01:09:00.000,2024-05-13 01:14:00.000,C9.4,13664
2024-05-13 01:23:00.000,2024-05-13 01:33:00.000,2024-05-13 01:38:00.000,M1.2,13664
2024-05-13 02:41:00.000,2024-05-13 02:46:00.000,2024-05-13 02:55:00.000,C5.8,13664
2024-05-13 04:00:00.000,2024-05-13 04:03:00.000,2024-05-13 04:07:00.000,C5.0,13664
2024-05-13 05:44:00.000,2024-05-13 05:47:00.000,2024-05-13 05:53:00.000,C5.3,13664
